number;date;time;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T13;T14;T15;T16;T17;T18;T19;T20
[N];[DD.MM.JJJJ];[h:m:s];[°C];[°C];[°C];[°C];[°C];[°C];[°C];[°C];[°C];[°C];[°C];[°C];[°C];[°C];[°C];[°C];[°C];[°C];[°C];[°C]
7;18.07.2019;00:01:07;21,18;20,31;19,25;18,56;21;19,31;18,56;18,5;18,81;18,87;16,93;22,43;22;18,31;18,12;20,37;21,93;18,68;18,68;19,31
13;18.07.2019;00:02:15;21,18;20,31;19,25;18,56;21;19,31;18,56;18,5;18,81;18,93;16,93;22,43;21,93;18,37;18,12;20,37;21,93;18,62;18,68;19,25
19;18.07.2019;00:03:22;21,18;20,31;19,25;18,56;21;19,31;18,56;18,5;18,81;18,93;16,93;22,43;21,93;18,37;18,25;20,37;21,93;18,62;18,68;19,31
25;18.07.2019;00:04:29;21,18;20,37;19,25;18,56;21;19,31;18,56;18,43;18,87;18,93;16,87;22,43;21,93;18,37;18,25;20,43;21,93;18,68;18,62;19,31
31;18.07.2019;00:05:37;21,18;20,37;19,25;18,56;21;19,31;18,56;18,5;18,81;18,93;16,93;22,37;21,93;18,37;18,25;20,43;22;18,62;18,68;19,25
37;18.07.2019;00:06:44;21,18;20,37;19,25;18,56;21;19,31;18,62;18,43;18,81;18,93;17,06;22,37;21,93;18,43;18,25;20,37;21,93;18,62;18,62;19,25
43;18.07.2019;00:07:52;21,18;20,31;19,25;18,56;20,93;19,31;18,56;18,43;18,81;18,93;17,06;22,37;21,87;18,37;18,18;20,37;21,93;18,62;18,62;19,31
49;18.07.2019;00:08:59;21,18;20,31;19,25;18,5;21;19,31;18,56;18,43;18,81;18,93;17;22,37;21,87;18,31;18,12;20,37;21,87;18,62;18,68;19,31
55;18.07.2019;00:10:07;21,18;20,25;19,25;18,56;20,93;19,31;18,56;18,43;18,81;18,93;17,06;22,31;21,87;18,31;18,12;20,37;21,87;18,62;18,62;19,25
